el_price,cf_wind,cf_solar
-18.85,0.01232529,0.0
-2.39,0.01421632,0.0
-6.95,0.0,0.0
-9.64,0.0,0.0
-11.03,0.0,0.0
-9.56,0.0,0.0
-2.23,0.0,0.0
11.23,0.0,0.0
33.49,0.0,0.0
38.53,0.0,0.0199109
27.91,0.0,0.0819557
16.47,0.0,0.09423089
0.03,0.0,0.12107355
-9.98,0.0,0.14718499
-9.97,0.0,0.17862988
-4.49,0.0,0.26234073
0.13,0.0,0.19152513
13.08,0.0,0.19290163
31.56,0.0,0.09538151
38.58,0.0,0.0154069
41.11,0.0,0.0
40.68,0.0,0.0
33.01,0.0,0.0
26.49,0.0,0.0
23.87,0.0,0.0
0.36,0.0,0.0
7.07,0.0,0.0
0.06,0.0,0.0
-0.07,0.0,0.0
2.45,0.0,0.0
8.09,0.0,0.0
19.17,0.0,0.0
25.91,0.0,0.0
30.9,0.0,0.02502889
26.0,0.0,0.06035543
18.5,0.0,0.10493842
2.28,0.0,0.1949986
8.24,0.0,0.28316565
4.9,0.0,0.29123032
-2.46,0.0,0.24184855
-2.82,0.0,0.20898323
1.98,0.0,0.15311639
19.61,0.0,0.13176605
29.65,0.0,0.02030203
34.51,0.0,0.0
37.25,0.0,0.0
30.25,0.0,0.0
25.52,0.0,0.0
24.3,0.0,0.0
18.9,0.0,0.0
24.17,0.0,0.0
22.25,0.0,0.0
11.44,0.0,0.0
4.63,0.0,0.0
5.06,0.0,0.0
3.83,0.0,0.0
8.89,0.0,0.0
10.44,0.0,0.03068482
4.5,0.0,0.06831936
0.24,0.0,0.14360672
2.15,0.0,0.22257371
2.23,0.0,0.27326113
0.03,0.0,0.16439847
0.1,0.0,0.1919611
2.24,0.0,0.18433848
7.18,0.0,0.10426645
25.1,0.0,0.08021649
30.14,0.0,0.02355309
35.01,0.0,0.0
35.84,0.0,0.0
33.6,0.03683762,0.0
27.12,0.04361514,0.0
27.38,0.04797432,0.0
7.01,0.03432914,0.0
27.3,0.0,0.0
26.38,0.0,0.0
25.7,0.0,0.0
25.65,0.0,0.0
28.54,0.0,0.0
34.62,0.0,0.0
41.02,0.0,0.0034626
41.0,0.0,0.03780303
36.68,0.0,0.07929327
34.8,0.0,0.08302459
33.39,0.0,0.20200259
30.09,0.0,0.26744834
27.7,0.0,0.23868667
27.07,0.0,0.28763781
27.21,0.0,0.25628824
28.66,0.0,0.21554751
31.27,0.0,0.13507234
35.35,0.0,0.04197322
40.15,0.0,0.00104712
40.07,0.0,0.0
