el_price,cf_wind,cf_solar
40.15,0.93723884,0.56510118
39.76,0.92946187,0.53987966
40.05,0.95416697,0.4561106
41.68,0.9525312,0.34498819
46.41,0.83972479,0.23571386
52.17,0.96127048,0.09430028
53.09,0.98681448,0.00761162
54.34,0.98239605,0.0
51.01,0.95931076,0.0
47.0,0.95926536,0.0
44.64,0.87014584,0.0
39.88,0.877592,0.0
38.19,0.85995209,0.0
36.3,0.77811935,0.0
36.03,0.76957865,0.0
35.4,0.70475997,0.0
35.38,0.78135141,0.0
50.67,0.89992969,0.0
63.52,0.94488431,0.03090966
71.36,0.95772342,0.12149622
58.37,0.97247132,0.26157687
58.42,0.99113251,0.40792553
57.3,0.99086936,0.50176697
58.26,0.99812866,0.55250767
58.77,0.99974965,0.55770203
58.6,0.99949763,0.52169171
57.05,0.99743508,0.42834853
59.23,0.98996591,0.29974566
58.4,0.99089463,0.18052135
63.45,0.99223218,0.05058434
66.51,0.99875273,0.00100409
60.16,0.99973266,0.0
53.93,0.99946603,0.0
50.17,0.999392,0.0
46.36,0.99953477,0.0
41.58,0.99993447,0.0
39.07,0.99996175,0.0
38.43,0.999989,0.0
36.2,0.99999709,0.0
36.33,0.99999638,0.0
38.95,0.9999747,0.0
55.98,0.99997187,0.0
65.17,0.99986764,0.02349381
65.19,0.99991333,0.10462897
60.0,0.99989532,0.22211224
55.49,0.99995764,0.35416633
54.79,0.99999839,0.44803403
54.05,0.99999917,0.54292251
52.91,0.99999892,0.59226305
52.59,0.99999701,0.56071559
53.95,0.99999331,0.46233071
61.81,0.99937733,0.33447552
70.43,0.99666675,0.21488521
80.1,0.99079814,0.09241024
76.09,0.98675242,0.00755573
71.91,0.96888789,0.0
58.97,0.95541742,0.0
53.1,0.88825133,0.0
43.34,0.81766829,0.0
39.53,0.7584497,0.0
38.77,0.69398236,0.0
39.92,0.60844151,0.0
39.7,0.62207221,0.0
39.73,0.65443135,0.0
39.5,0.56647105,0.0
50.91,0.52524657,0.0
56.97,0.53235457,0.03712129
62.08,0.615447,0.13577806
68.9,0.72114717,0.25844194
65.93,0.87189424,0.40972472
61.02,0.92607627,0.48853272
60.68,0.90161146,0.53420215
59.12,0.96363984,0.53057901
59.05,0.76191787,0.52536741
59.82,0.79882027,0.43908635
60.69,0.70218935,0.35453434
63.51,0.69243815,0.23607254
76.08,0.66883364,0.09400553
87.12,0.63640444,0.00537858
65.0,0.75573093,0.0
54.47,0.79219324,0.0
47.52,0.79594712,0.0
44.59,0.81224271,0.0
40.3,0.77295591,0.0
39.07,0.68219558,0.0
37.85,0.65148442,0.0
37.05,0.71727153,0.0
37.67,0.86630196,0.0
38.39,0.97566557,0.0
48.73,0.98349684,0.0
52.13,0.99401842,0.02638
57.98,0.99904413,0.12989171
58.4,0.9999954,0.28312861
58.93,0.99999968,0.42706828
59.16,0.99999898,0.53317163
59.11,0.99999884,0.57349601
56.28,0.99997696,0.5642949
58.09,0.99738102,0.57029727
57.32,0.99029143,0.44642145
58.13,0.979013,0.35115326
59.86,0.93108001,0.2343673
63.38,0.87715589,0.08480577
71.47,0.83361732,0.00435711
61.13,0.83048361,0.0
51.24,0.80578847,0.0
48.09,0.74500486,0.0
40.13,0.56008612,0.0
37.49,0.54230773,0.0
64.63,0.80206279,0.0
60.64,0.8775633,0.0
57.8,0.86196144,0.0
55.44,0.89332198,0.0
55.28,0.75843638,0.0
58.98,0.65595978,0.0
71.1,0.52798905,0.0
84.48,0.51515533,0.00265498
97.0,0.52665895,0.10534822
93.64,0.5384514,0.23062883
85.0,0.51111749,0.35055912
78.0,0.5024809,0.43112229
71.81,0.56070361,0.45962739
69.87,0.58660147,0.42709501
68.64,0.63707897,0.33995334
68.14,0.49702323,0.21546626
69.0,0.52125131,0.0930834
75.04,0.58717649,0.0
76.13,0.53012737,0.0
72.46,0.5200434,0.0
62.99,0.48713754,0.0
59.24,0.52041875,0.0
56.7,0.59381443,0.0
53.16,0.74125997,0.0
52.47,0.73296622,0.0
53.18,0.73370491,0.0
54.73,0.69083179,0.0
51.15,0.64796559,0.0
52.25,0.60047348,0.0
50.93,0.39585377,0.0
49.04,0.54470203,0.0
50.56,0.70737129,0.00379071
55.71,0.83913522,0.09309472
56.62,0.89498655,0.23258247
63.13,0.82904023,0.3560071
59.18,0.94925018,0.44105021
56.72,0.99112337,0.46995402
57.44,0.99820738,0.43476592
53.32,0.99623529,0.3446077
